vote_id;vote_date;question;issue;title;yeas;nays
00133;14-Jul;On Cloture on the Motion to Proceed;H.R. 5293;Upon Reconsideration Motion to Invoke Cloture on the Motion to Proceed to H.R. 5293, A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2017, and for other purposes.;55;42
00132;14-Jul;On the Motion;S. 2943;Sullivan Motion to Instruct Conferees Re: S. 2943, An original bill to authorize appropriations for fiscal year 2017 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.;85;12
00131;14-Jul;On the Motion;S. 2943;Shaheen Motion to Instruct Conferees Re: S. 2943, An original bill to authorize appropriations for fiscal year 2017 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.;84;12
00130;14-Jul;On the Cloture Motion;S. 2943;Motion to Invoke Cloture on the Motion to Disagree in the House Amendment, Agree to the Request for a Conference, and Appoint Conferees, An original bill to authorize appropriations for fiscal year 2017 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.;90;7
00129;13-Jul;On the Conference Report;S. 524;Conference Report to Accompany S. 524, To authorize the Attorney General and Secretary of Health and Human Services to award grants to address the national epidemics of prescription opioid abuse and heroin use, and to provide for the establishment of an inter-agency task force to review, modify, and update best practices for pain management and prescribing pain medication, and for other purposes.;92;2
00128;13-Jul;On the Nomination;PN1180;Confirmation: Carla D. Hayden, of Maryland, to be Librarian of Congress;74;18
00127;13-Jul;On the Motion;H.R. 636;Motion to Concur in the House Amendments to the Senate Amendments Re: H.R. 636, To amend title 49, United States Code, to extend authorizations for the airport improvement program, to amend the Internal Revenue Code of 1986 to extend the funding and expenditure authority of the Airport and Airway Trust Fund, and for other purposes.;89;4
00126;13-Jul;On the Cloture Motion;S. 524;Motion to Invoke Cloture on the Conference Report to Accompany S. 524, To authorize the Attorney General and Secretary of Health and Human Services to award grants to address the national epidemics of prescription opioid abuse and heroin use, and to provide for the establishment of an inter-agency task force to review, modify, and update best practices for pain management and prescribing pain medication, and for other purposes.;90;2
00125;12-Jul;On the Cloture Motion;S. 2012;Motion to Invoke Cloture on the Motion to Disagree to the House Amdt., Agree to the Request for Conference, and Appoint Conferees to S. 2012, An original bill to provide for the modernization of the energy policy of the United States, and for other purposes.;84;3
00124;07-Jul;On Cloture on the Motion to Proceed;H.R. 5293;Motion to Invoke Cloture on the Motion to Proceed to H.R. 5293, A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2017, and for other purposes.;50;44
00123;07-Jul;On the Motion;S. 764;Motion to Concur in the House Amendment to S. 764 with Further Amendment (Amdt. No. 4935), A bill to reauthorize and amend the National Sea Grant College Program Act, and for other purposes.;63;30
00122;07-Jul;On the Motion to Table;S. 764;Motion to Table McConnell Amdt. No. 4936, To change the enactment date.;31;62
00121;06-Jul;On the Cloture Motion;S. 764;Motion to Invoke Cloture on the Motion to Concur in the House Amendment with an Amendment to S. 764, A bill to reauthorize and amend the National Sea Grant College Program Act, and for other purposes.;65;32
00120;06-Jul;On Cloture on the Motion to Proceed;S. 2193;Motion to Invoke Cloture on the Motion to Proceed to S. 2193, A bill to amend the Immigration and Nationality Act to increase penalties for individuals who illegally reenter the United States after being removed and for other purposes.;55;42
